sudo ${FIO_HOME}/fio --name=zns-f2fs_iod --directory=/mnt/f2fs --size=20G --direct=1 --ioengine=io_uring --fixedbufs=1 --registerfiles=1 --sqthread_poll=2 --iodepth=2 --rw=write --bs=4K --runtime=30s --numjobs=1 --ramp_time=10s --write_hint=short --nrfiles=1 --thread=1 --ioscheduler=mq-deadline
Attaching 4 probes...





@z_data_map[20971520, 1]: 512
@z_data_map[8388608, 1]: 2560
@z_data_map[138412032, 1]: 2560
@z_data_map[0, 1]: 2560
@z_data_map[130023424, 1]: 5120
@z_data_map[134217728, 1]: 5120
@z_data_map[150994944, 1]: 27072
@z_data_map[4194304, 2]: 35000
@z_data_map[100663296, 1]: 38400
@z_data_map[0, 2]: 53760
@z_data_map[415236096, 2]: 69736
@z_data_map[4194304, 1]: 71400
@z_data_map[142606336, 1]: 143256
@z_data_map[155189248, 1]: 152128
@z_data_map[12582912, 2]: 262488
@z_data_map[50331648, 1]: 1971536
@z_data_map[92274688, 1]: 1995456
@z_data_map[88080384, 1]: 2044520
@z_data_map[58720256, 1]: 2044536
@z_data_map[79691776, 1]: 2044608
@z_data_map[75497472, 1]: 2051600
@z_data_map[62914560, 1]: 2059032
@z_data_map[71303168, 1]: 2068272
@z_data_map[67108864, 1]: 2174312
@z_data_map[33554432, 1]: 2183856
@z_data_map[29360128, 1]: 2201864
@z_data_map[41943040, 1]: 2204728
@z_data_map[46137344, 1]: 2212752
@z_data_map[83886080, 1]: 2221440
@z_data_map[12582912, 1]: 2230576
@z_data_map[25165824, 1]: 2244704
@z_data_map[54525952, 1]: 2286512
@z_data_map[37748736, 1]: 2729144


@z_rw_ctr_map[0, 1]: 1
@z_rw_ctr_map[138412032, 1]: 1
@z_rw_ctr_map[8388608, 1]: 1
@z_rw_ctr_map[130023424, 1]: 2
@z_rw_ctr_map[134217728, 1]: 2
@z_rw_ctr_map[150994944, 1]: 11
@z_rw_ctr_map[100663296, 1]: 15
@z_rw_ctr_map[0, 2]: 21
@z_rw_ctr_map[415236096, 2]: 28
@z_rw_ctr_map[4194304, 1]: 31
@z_rw_ctr_map[142606336, 1]: 64
@z_rw_ctr_map[20971520, 1]: 64
@z_rw_ctr_map[155189248, 1]: 68
@z_rw_ctr_map[12582912, 2]: 113
@z_rw_ctr_map[50331648, 1]: 789
@z_rw_ctr_map[58720256, 1]: 817
@z_rw_ctr_map[92274688, 1]: 831
@z_rw_ctr_map[75497472, 1]: 842
@z_rw_ctr_map[88080384, 1]: 849
@z_rw_ctr_map[62914560, 1]: 852
@z_rw_ctr_map[79691776, 1]: 855
@z_rw_ctr_map[71303168, 1]: 872
@z_rw_ctr_map[46137344, 1]: 878
@z_rw_ctr_map[41943040, 1]: 883
@z_rw_ctr_map[33554432, 1]: 883
@z_rw_ctr_map[29360128, 1]: 885
@z_rw_ctr_map[12582912, 1]: 888
@z_rw_ctr_map[25165824, 1]: 895
@z_rw_ctr_map[67108864, 1]: 908
@z_rw_ctr_map[83886080, 1]: 911
@z_rw_ctr_map[54525952, 1]: 916
@z_rw_ctr_map[37748736, 1]: 1108
@z_rw_ctr_map[4194304, 2]: 1555
